Assigned Name,Code,Round number,Effort,Random Draw,Performance,Effort2,Random Draw2,Performance2,Participated1,Participated2,Win1,Win2,Round Payoff,Selected round,Selected Payment,Converted Payment,Beta,Non-Exc,Group id,Group members,Decision Time,Session Code,Action Log,Mini Test,Timeout or not?
Participant 5,ioof0xs4,Trial: 2,7.1,-12.81,26.39,,,,1,-,0,-,2.9,6,0.0,0.0,30.0,Exc,1392,5/4--No,33.0,25/08/2021 10:22:01,P:0.1=T3-P:0.2=T3-P:0.3=T4-P:0.4=T4-P:0.5=T4-P:0.6=T4-P:0.7=T4-P:0.8=T4-P:0.9=T5-P:1=T5-P:1.1=T5-P:1.2=T5-P:1.3=T5-P:1.4=T5-P:1.5=T6-P:1.6=T6-P:1.7=T6-P:1.8=T6-P:1.9=T6-P:2=T7-P:2.1=T7-P:2.2=T7-P:2.3=T7-P:2.4=T7-P:2.5=T8-P:2.6=T8-P:2.7=T8-P:2.8=T8-P:2.9=T8-P:3=T8-P:3.1=T9-P:3.2=T9-P:3.3=T9-P:3.4=T9-P:3.5=T9-P:3.6=T9-P:3.7=T10-P:3.8=T10-P:3.9=T10-P:4=T10-P:4.1=T10-P:4.2=T10-P:4.3=T11-P:4.4=T11-P:4.5=T11-P:4.6=T11-P:4.7=T11-P:4.8=T12-P:4.9=T12-P:5=T12-P:5.1=T12-P:5.2=T12-P:5.3=T12-P:5.4=T13-P:5.5=T13-P:5.6=T13-P:5.7=T13-P:5.8=T13-P:5.9=T14-P:6=T14-P:6.1=T14-P:6.2=T14-P:6.3=T14-P:6.4=T15-P:6.5=T16-P:6.6=T17-P:6.7=T18-P:6.8=T23-P:6.9=T25-P:7=T29-P:7.1=T30--,-,--
Participant 6,cl9zpwi1,Trial: 2,5.2,-22.62,10.36,,,,1,-,0,-,4.8,6,0.0,0.0,30.0,Exc,1390,6/1--No,37.0,25/08/2021 10:22:01,S:0.2=T34-S:3.8=T34-S:4.8=T34-S:5.1=T34-S:5.2=T34--,-,--
Participant 7,9f9dv31c,Trial: 2,4.9,-11.49,20.29,,,,1,-,1,-,35.1,6,0.0,0.0,30.0,Exc,1393,7/9--Yes,14.0,25/08/2021 10:22:01,S:4.7=T3-M:4.6=T6-P:4.7=T10-P:4.8=T11-P:4.9=T13--,-,--
Participant 8,fhh14nw2,Trial: 2,7.4,-2.96,37.07,,,,1,-,0,-,2.6,6,0.0,0.0,30.0,Exc,1391,8/11--No,7.0,25/08/2021 10:22:01,S:0.1=T3-S:1.7=T3-S:3.9=T3-S:4.7=T3-S:4.8=T3-S:4.9=T4-S:5=T4-S:5.2=T4-S:5.5=T4-S:5.7=T4-S:5.8=T4-S:5.9=T4-S:6=T4-S:6.1=T4-S:6.3=T4-S:6.4=T4-S:6.5=T4-S:6.6=T4-S:6.7=T5-S:6.8=T5-S:6.9=T5-S:7=T5-S:7.1=T5-S:7.2=T6-S:7.3=T6-S:7.4=T6--,-,--
Participant 9,0twjkro9,Trial: 2,6.0,-23.66,12.17,,,,1,-,0,-,4.0,6,0.0,0.0,30.0,Exc,1393,9/7--No,13.0,25/08/2021 10:22:01,S:0.2=T6-S:2.1=T6-S:2.2=T6-S:2.1=T6-S:1.6=T6-S:1.4=T6-S:1.3=T7-S:1.4=T7-S:1.8=T7-S:2.2=T7-S:2.5=T7-S:2.6=T7-S:2.8=T7-S:3=T7-S:3.1=T7-S:3.2=T7-S:3.3=T7-S:3.4=T8-S:3.6=T8-S:3.7=T8-S:3.8=T8-S:3.9=T8-S:4=T8-S:4.1=T8-S:4.2=T8-S:4.3=T8-S:4.4=T8-S:4.5=T8-S:4.6=T8-S:4.7=T8-S:4.8=T8-S:4.9=T8-S:5=T8-S:5.1=T8-S:5.2=T9-S:5.3=T9-S:5.4=T9-S:5.5=T9-S:5.6=T9-S:5.7=T9-S:5.8=T10-S:5.9=T10-S:6=T10--,-,--
Participant 10,jnozxjh0,Trial: 2,1.5,-16.71,-8.6,,,,1,-,0,-,8.5,6,0.0,0.0,30.0,Exc,1396,10/14--No,9.0,25/08/2021 10:22:01,S:0.1=T5-S:2.4=T5-S:2.3=T5-S:2.1=T5-S:1.7=T6-S:1.6=T6-M:1.5=T8--,-,--
Participant 11,muq6i7yy,Trial: 2,5.1,6.63,39.21,,,,1,-,1,-,34.9,6,0.0,0.0,30.0,Exc,1391,11/8--Yes,9.0,25/08/2021 10:22:01,S:0.1=T3-S:0.2=T3-S:0.6=T3-S:0.9=T3-S:1.1=T3-S:1.4=T3-S:1.8=T3-S:2=T3-S:2.1=T3-S:2.2=T3-S:2.3=T3-S:2.4=T3-S:2.8=T3-S:2.9=T3-S:3=T4-S:3.1=T4-S:3.2=T4-S:3.3=T4-S:3.4=T4-S:3.5=T4-S:3.6=T4-S:3.7=T5-S:3.8=T5-S:4.1=T5-S:4.5=T5-S:4.4=T5-S:3.8=T5-S:3.7=T5-S:3.6=T5-S:3.5=T5-S:3.4=T5-S:3.3=T6-S:3.2=T6-S:3.1=T6-S:3=T6-S:3.1=T7-S:3.4=T7-S:4.1=T7-S:4.5=T7-S:4.6=T7-S:4.7=T7-S:4.8=T7-S:4.9=T7-S:5=T7-S:5.1=T7--,-,--
Participant 12,hhtd3ho4,Trial: 2,7.0,-7.55,31.37,,,,1,-,1,-,33.0,6,0.0,0.0,30.0,Exc,1395,12/13--Yes,15.0,25/08/2021 10:22:01,S:0.1=T4-S:0.6=T4-S:0.7=T4-S:0.9=T4-S:1.7=T4-S:2=T4-S:2.5=T4-S:2.8=T4-S:3=T4-S:3.1=T4-S:3.2=T4-S:3.5=T4-S:3.9=T4-S:4.2=T4-S:4.6=T4-S:4.7=T4-S:4.8=T4-S:4.9=T5-S:5=T5-S:5.2=T5-S:5.3=T5-S:5.4=T5-S:5.6=T5-S:5.9=T5-S:6.1=T5-S:6.2=T5-S:6.3=T5-S:6.4=T5-S:6.6=T5-S:6.7=T5-S:6.8=T5-S:6.9=T6-S:7=T6-S:7.1=T6-M:7=T13--,-,--
Participant 13,zujo8vbc,Trial: 2,0.2,21.69,-10.49,,,,1,-,0,-,9.8,6,0.0,0.0,30.0,Exc,1395,13/12--No,18.0,25/08/2021 10:22:01,S:0.1=T12-S:0.2=T12--,-,--
Participant 14,n3ivky3r,Trial: 2,8.5,20.75,63.55,,,,1,-,1,-,31.5,6,0.0,0.0,30.0,Exc,1396,14/10--Yes,33.0,25/08/2021 10:22:01,S:7.1=T3-M:7=T9-S:7.1=T16-S:7.2=T16-S:7.3=T16-S:7.4=T16-S:7.5=T16-S:7.6=T16-S:7.7=T16-S:7.8=T17-S:8=T17-S:8.1=T17-S:8.2=T17-S:8.3=T17-S:8.4=T17-S:8.5=T17-S:8.6=T17-S:8.7=T17-S:8.8=T17-S:9=T17-S:9.1=T17-S:9.4=T17-S:9.6=T17-S:9.7=T17-S:9.9=T17-S:10=T17-S:9.9=T19-S:9.5=T19-S:9.2=T19-S:9.1=T19-S:9=T31-S:8.7=T31-S:8.6=T31-S:8.5=T31-S:8.4=T31-S:8.3=T31-S:8.4=T32-S:8.5=T32--,-,--
